"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","NormHP","NormAttack","NormDefense","Performance","Grade"
"Slowking Galarian Slowking",199,"Poison","Psychic",490,95,65,80,110,110,30,0.37,0.324,0.306,0.037,"Weak"
"Misdreavus",200,"Ghost","",435,60,60,60,85,85,85,0.232,0.297,0.224,0.016,"Weak"
"Unown",201,"Psychic","",336,48,72,48,72,48,48,0.185,0.362,0.176,0.012,"Weak"
"Wobbuffet",202,"Psychic","",405,190,33,58,33,58,33,0.744,0.151,0.216,0.024,"Weak"
"Girafarig",203,"Normal","Psychic",455,70,80,65,90,65,85,0.272,0.405,0.245,0.027,"Weak"
"Pineco",204,"Bug","",290,50,65,90,35,35,15,0.193,0.324,0.347,0.022,"Weak"
"Forretress",205,"Bug","Steel",465,75,90,140,60,60,40,0.291,0.459,0.551,0.074,"Weak"
"Dunsparce",206,"Normal","",415,100,70,70,65,65,45,0.39,0.351,0.265,0.036,"Weak"
"Gligar",207,"Ground","Flying",430,65,75,105,35,65,85,0.252,0.378,0.408,0.039,"Weak"
"Steelix",208,"Steel","Ground",510,75,85,200,55,65,30,0.291,0.432,0.796,0.1,"Weak"
"Steelix Mega Steelix",208,"Steel","Ground",610,75,125,230,55,95,30,0.291,0.649,0.918,0.174,"Normal"
"Snubbull",209,"Fairy","",300,60,80,50,40,40,30,0.232,0.405,0.184,0.017,"Weak"
"Granbull",210,"Fairy","",450,90,120,75,60,60,45,0.35,0.622,0.286,0.062,"Weak"
"Qwilfish",211,"Water","Poison",440,65,95,85,55,55,85,0.252,0.486,0.327,0.04,"Weak"
"Qwilfish Hisuian Qwilfish",211,"Dark","Poison",440,65,95,85,55,55,85,0.252,0.486,0.327,0.04,"Weak"
"Scizor",212,"Bug","Steel",500,70,130,100,55,80,65,0.272,0.676,0.388,0.072,"Weak"
"Scizor Mega Scizor",212,"Bug","Steel",600,70,150,140,65,100,75,0.272,0.784,0.551,0.118,"Weak"
"Shuckle",213,"Bug","Rock",505,20,10,230,10,230,5,0.075,0.027,0.918,0.002,"Weak"
"Heracross",214,"Bug","Fighting",500,80,125,75,40,95,85,0.311,0.649,0.286,0.058,"Weak"
"Heracross Mega Heracross",214,"Bug","Fighting",600,80,185,115,40,105,75,0.311,0.973,0.449,0.136,"Weak"
"Sneasel",215,"Dark","Ice",430,55,95,55,35,75,115,0.213,0.486,0.204,0.021,"Weak"
"Sneasel Hisuian Sneasel",215,"Fighting","Poison",430,55,95,55,35,75,115,0.213,0.486,0.204,0.021,"Weak"
"Teddiursa",216,"Normal","",330,60,80,50,50,50,40,0.232,0.405,0.184,0.017,"Weak"
"Ursaring",217,"Normal","",500,90,130,75,75,75,55,0.35,0.676,0.286,0.068,"Weak"
"Slugma",218,"Fire","",250,40,40,40,70,40,20,0.154,0.189,0.143,0.004,"Weak"
"Magcargo",219,"Fire","Rock",430,60,50,120,90,80,30,0.232,0.243,0.469,0.027,"Weak"
"Swinub",220,"Ice","Ground",250,50,50,40,30,30,50,0.193,0.243,0.143,0.007,"Weak"
"Piloswine",221,"Ice","Ground",450,100,100,80,60,60,50,0.39,0.514,0.306,0.062,"Weak"
"Corsola",222,"Water","Rock",410,65,55,95,65,95,35,0.252,0.27,0.367,0.025,"Weak"
"Corsola Galarian Corsola",222,"Ghost","",410,60,55,100,65,100,30,0.232,0.27,0.388,0.025,"Weak"
"Remoraid",223,"Water","",300,35,65,35,65,35,65,0.134,0.324,0.122,0.005,"Weak"
"Octillery",224,"Water","",480,75,105,75,105,75,45,0.291,0.541,0.286,0.045,"Weak"
"Delibird",225,"Ice","Flying",330,45,55,45,65,45,75,0.173,0.27,0.163,0.008,"Weak"
"Mantine",226,"Water","Flying",485,85,40,70,80,140,70,0.331,0.189,0.265,0.017,"Weak"
"Skarmory",227,"Steel","Flying",465,65,80,140,40,70,70,0.252,0.405,0.551,0.056,"Weak"
"Houndour",228,"Dark","Fire",330,45,60,30,80,50,65,0.173,0.297,0.102,0.005,"Weak"
"Houndoom",229,"Dark","Fire",500,75,90,50,110,80,95,0.291,0.459,0.184,0.025,"Weak"
"Houndoom Mega Houndoom",229,"Dark","Fire",600,75,90,90,140,90,115,0.291,0.459,0.347,0.047,"Weak"
"Kingdra",230,"Water","Dragon",540,75,95,95,95,95,85,0.291,0.486,0.367,0.052,"Weak"
"Phanpy",231,"Ground","",330,90,60,60,40,40,40,0.35,0.297,0.224,0.023,"Weak"
"Donphan",232,"Ground","",500,90,120,120,60,60,50,0.35,0.622,0.469,0.102,"Weak"
"Porygon2",233,"Normal","",515,85,80,90,105,95,60,0.331,0.405,0.347,0.047,"Weak"
"Stantler",234,"Normal","",465,73,95,62,85,65,85,0.283,0.486,0.233,0.032,"Weak"
"Smeargle",235,"Normal","",250,55,20,35,20,45,75,0.213,0.081,0.122,0.002,"Weak"
"Tyrogue",236,"Fighting","",210,35,35,35,35,35,35,0.134,0.162,0.122,0.003,"Weak"
"Hitmontop",237,"Fighting","",455,50,95,95,35,110,70,0.193,0.486,0.367,0.035,"Weak"
"Smoochum",238,"Ice","Psychic",305,45,30,15,85,65,65,0.173,0.135,0.041,0.001,"Weak"
"Elekid",239,"Electric","",360,45,63,37,65,55,95,0.173,0.314,0.131,0.007,"Weak"
"Magby",240,"Fire","",365,45,75,37,70,55,83,0.173,0.378,0.131,0.009,"Weak"
"Miltank",241,"Normal","",490,95,80,105,40,70,100,0.37,0.405,0.408,0.061,"Weak"
"Blissey",242,"Normal","",540,255,10,10,75,135,55,1,0.027,0.02,0.001,"Weak"
"Raikou",243,"Electric","",580,90,85,75,115,100,115,0.35,0.432,0.286,0.043,"Weak"
"Entei",244,"Fire","",580,115,115,85,90,75,100,0.449,0.595,0.327,0.088,"Weak"
"Suicune",245,"Water","",580,100,75,115,90,115,85,0.39,0.378,0.449,0.066,"Weak"
"Larvitar",246,"Rock","Ground",300,50,64,50,45,50,41,0.193,0.319,0.184,0.012,"Weak"
"Pupitar",247,"Rock","Ground",410,70,84,70,65,70,51,0.272,0.427,0.265,0.031,"Weak"
"Tyranitar",248,"Rock","Dark",600,100,134,110,95,100,61,0.39,0.697,0.429,0.117,"Weak"
"Tyranitar Mega Tyranitar",248,"Rock","Dark",700,100,164,150,95,120,71,0.39,0.859,0.592,0.199,"Normal"
"Lugia",249,"Psychic","Flying",680,106,90,130,90,154,110,0.413,0.459,0.51,0.097,"Weak"
"Ho-oh",250,"Fire","Flying",680,106,130,90,110,154,90,0.413,0.676,0.347,0.097,"Weak"
"Celebi",251,"Psychic","Grass",600,100,100,100,100,100,100,0.39,0.514,0.388,0.078,"Weak"
"Treecko",252,"Grass","",310,40,45,35,65,55,70,0.154,0.216,0.122,0.004,"Weak"
"Grovyle",253,"Grass","",405,50,65,45,85,65,95,0.193,0.324,0.163,0.01,"Weak"
"Sceptile",254,"Grass","",530,70,85,65,105,85,120,0.272,0.432,0.245,0.029,"Weak"
"Sceptile Mega Sceptile",254,"Grass","Dragon",630,70,110,75,145,85,145,0.272,0.568,0.286,0.044,"Weak"
"Torchic",255,"Fire","",310,45,60,40,70,50,45,0.173,0.297,0.143,0.008,"Weak"
"Combusken",256,"Fire","Fighting",405,60,85,60,85,60,55,0.232,0.432,0.224,0.023,"Weak"
"Blaziken",257,"Fire","Fighting",530,80,120,70,110,70,80,0.311,0.622,0.265,0.051,"Weak"
"Blaziken Mega Blaziken",257,"Fire","Fighting",630,80,160,80,130,80,100,0.311,0.838,0.306,0.08,"Weak"
"Mudkip",258,"Water","",310,50,70,50,50,50,40,0.193,0.351,0.184,0.013,"Weak"
"Marshtomp",259,"Water","Ground",405,70,85,70,60,70,50,0.272,0.432,0.265,0.031,"Weak"
"Swampert",260,"Water","Ground",535,100,110,90,85,90,60,0.39,0.568,0.347,0.077,"Weak"
"Swampert Mega Swampert",260,"Water","Ground",635,100,150,110,95,110,70,0.39,0.784,0.429,0.131,"Weak"
"Poochyena",261,"Dark","",220,35,55,35,30,30,35,0.134,0.27,0.122,0.005,"Weak"
"Mightyena",262,"Dark","",420,70,90,70,60,60,70,0.272,0.459,0.265,0.033,"Weak"
"Zigzagoon",263,"Normal","",240,38,30,41,30,41,60,0.146,0.135,0.147,0.003,"Weak"
"Zigzagoon Galarian Zigzagoon",263,"Dark","Normal",240,38,30,41,30,41,60,0.146,0.135,0.147,0.003,"Weak"
"Linoone",264,"Normal","",420,78,70,61,50,61,100,0.303,0.351,0.229,0.025,"Weak"
"Linoone Galarian Linoone",264,"Dark","Normal",420,78,70,61,50,61,100,0.303,0.351,0.229,0.025,"Weak"
"Wurmple",265,"Bug","",195,45,45,35,20,30,20,0.173,0.216,0.122,0.005,"Weak"
"Silcoon",266,"Bug","",205,50,35,55,25,25,15,0.193,0.162,0.204,0.007,"Weak"
"Beautifly",267,"Bug","Flying",395,60,70,50,100,50,65,0.232,0.351,0.184,0.015,"Weak"
"Cascoon",268,"Bug","",205,50,35,55,25,25,15,0.193,0.162,0.204,0.007,"Weak"
"Dustox",269,"Bug","Poison",385,60,50,70,50,90,65,0.232,0.243,0.265,0.015,"Weak"
"Lotad",270,"Water","Grass",220,40,30,30,40,50,30,0.154,0.135,0.102,0.002,"Weak"
"Lombre",271,"Water","Grass",340,60,50,50,60,70,50,0.232,0.243,0.184,0.011,"Weak"
"Ludicolo",272,"Water","Grass",480,80,70,70,90,100,70,0.311,0.351,0.265,0.029,"Weak"
"Seedot",273,"Grass","",220,40,40,50,30,30,30,0.154,0.189,0.184,0.006,"Weak"
"Nuzleaf",274,"Grass","Dark",340,70,70,40,60,40,60,0.272,0.351,0.143,0.014,"Weak"
"Shiftry",275,"Grass","Dark",480,90,100,60,90,60,80,0.35,0.514,0.224,0.04,"Weak"
"Taillow",276,"Normal","Flying",270,40,55,30,30,30,85,0.154,0.27,0.102,0.004,"Weak"
"Swellow",277,"Normal","Flying",455,60,85,60,75,50,125,0.232,0.432,0.224,0.023,"Weak"
"Wingull",278,"Water","Flying",270,40,30,30,55,30,85,0.154,0.135,0.102,0.002,"Weak"
"Pelipper",279,"Water","Flying",440,60,50,100,95,70,65,0.232,0.243,0.388,0.022,"Weak"
"Ralts",280,"Psychic","Fairy",198,28,25,25,45,35,40,0.106,0.108,0.082,0.001,"Weak"
"Kirlia",281,"Psychic","Fairy",278,38,35,35,65,55,50,0.146,0.162,0.122,0.003,"Weak"
"Gardevoir",282,"Psychic","Fairy",518,68,65,65,125,115,80,0.264,0.324,0.245,0.021,"Weak"
"Gardevoir Mega Gardevoir",282,"Psychic","Fairy",618,68,85,65,165,135,100,0.264,0.432,0.245,0.028,"Weak"
"Surskit",283,"Bug","Water",269,40,30,32,50,52,65,0.154,0.135,0.11,0.002,"Weak"
"Masquerain",284,"Bug","Flying",454,70,60,62,100,82,80,0.272,0.297,0.233,0.019,"Weak"
"Shroomish",285,"Grass","",295,60,40,60,40,60,35,0.232,0.189,0.224,0.01,"Weak"
"Breloom",286,"Grass","Fighting",460,60,130,80,60,60,70,0.232,0.676,0.306,0.048,"Weak"
"Slakoth",287,"Normal","",280,60,60,60,35,35,30,0.232,0.297,0.224,0.016,"Weak"
"Vigoroth",288,"Normal","",440,80,80,80,55,55,90,0.311,0.405,0.306,0.039,"Weak"
"Slaking",289,"Normal","",670,150,160,100,95,65,100,0.587,0.838,0.388,0.191,"Normal"
"Nincada",290,"Bug","Ground",266,31,45,90,30,30,40,0.118,0.216,0.347,0.009,"Weak"
"Ninjask",291,"Bug","Flying",456,61,90,45,50,50,160,0.236,0.459,0.163,0.018,"Weak"
"Shedinja",292,"Bug","Ghost",236,1,90,45,30,30,40,0,0.459,0.163,0,"Strong"
"Whismur",293,"Normal","",240,64,51,23,51,23,28,0.248,0.249,0.073,0.005,"Weak"
"Loudred",294,"Normal","",360,84,71,43,71,43,48,0.327,0.357,0.155,0.018,"Weak"
"Exploud",295,"Normal","",490,104,91,63,91,73,68,0.406,0.465,0.237,0.045,"Weak"
"Makuhita",296,"Fighting","",237,72,60,30,20,30,25,0.28,0.297,0.102,0.009,"Weak"
"Hariyama",297,"Fighting","",474,144,120,60,40,60,50,0.563,0.622,0.224,0.079,"Weak"
"Azurill",298,"Normal","Fairy",190,50,20,40,20,40,20,0.193,0.081,0.143,0.002,"Weak"
"Nosepass",299,"Rock","",375,30,45,135,45,90,30,0.114,0.216,0.531,0.013,"Weak"
"Skitty",300,"Normal","",260,50,45,45,35,35,50,0.193,0.216,0.163,0.007,"Weak"
"Delcatty",301,"Normal","",400,70,65,65,55,55,90,0.272,0.324,0.245,0.022,"Weak"
"Sableye",302,"Dark","Ghost",380,50,75,75,65,65,50,0.193,0.378,0.286,0.021,"Weak"
"Sableye Mega Sableye",302,"Dark","Ghost",480,50,85,125,85,115,20,0.193,0.432,0.49,0.041,"Weak"
"Mawile",303,"Steel","Fairy",380,50,85,85,55,55,50,0.193,0.432,0.327,0.027,"Weak"
"Mawile Mega Mawile",303,"Steel","Fairy",480,50,105,125,55,95,50,0.193,0.541,0.49,0.051,"Weak"
"Aron",304,"Steel","Rock",330,50,70,100,40,40,30,0.193,0.351,0.388,0.026,"Weak"
"Lairon",305,"Steel","Rock",430,60,90,140,50,50,40,0.232,0.459,0.551,0.059,"Weak"
"Aggron",306,"Steel","Rock",530,70,110,180,60,60,50,0.272,0.568,0.714,0.111,"Weak"
"Aggron Mega Aggron",306,"Steel","",630,70,140,230,60,80,50,0.272,0.73,0.918,0.182,"Normal"
"Meditite",307,"Fighting","Psychic",280,30,40,55,40,55,60,0.114,0.189,0.204,0.005,"Weak"
"Medicham",308,"Fighting","Psychic",410,60,60,75,60,75,80,0.232,0.297,0.286,0.02,"Weak"
"Medicham Mega Medicham",308,"Fighting","Psychic",510,60,100,85,80,85,100,0.232,0.514,0.327,0.039,"Weak"
"Electrike",309,"Electric","",295,40,45,40,65,40,65,0.154,0.216,0.143,0.005,"Weak"
"Manectric",310,"Electric","",475,70,75,60,105,60,105,0.272,0.378,0.224,0.023,"Weak"
"Manectric Mega Manectric",310,"Electric","",575,70,75,80,135,80,135,0.272,0.378,0.306,0.032,"Weak"
"Plusle",311,"Electric","",405,60,50,40,85,75,95,0.232,0.243,0.143,0.008,"Weak"
"Minun",312,"Electric","",405,60,40,50,75,85,95,0.232,0.189,0.184,0.008,"Weak"
"Volbeat",313,"Bug","",430,65,73,75,47,85,85,0.252,0.368,0.286,0.027,"Weak"
"Illumise",314,"Bug","",430,65,47,75,73,85,85,0.252,0.227,0.286,0.017,"Weak"
"Roselia",315,"Grass","Poison",400,50,60,45,100,80,65,0.193,0.297,0.163,0.01,"Weak"
"Gulpin",316,"Poison","",302,70,43,53,43,53,40,0.272,0.205,0.196,0.011,"Weak"
"Swalot",317,"Poison","",467,100,73,83,73,83,55,0.39,0.368,0.318,0.046,"Weak"
"Carvanha",318,"Water","Dark",305,45,90,20,65,20,65,0.173,0.459,0.061,0.005,"Weak"
"Sharpedo",319,"Water","Dark",460,70,120,40,95,40,95,0.272,0.622,0.143,0.024,"Weak"
"Sharpedo Mega Sharpedo",319,"Water","Dark",560,70,140,70,110,65,105,0.272,0.73,0.265,0.053,"Weak"
"Wailmer",320,"Water","",400,130,70,35,70,35,60,0.508,0.351,0.122,0.022,"Weak"
"Wailord",321,"Water","",500,170,90,45,90,45,60,0.665,0.459,0.163,0.05,"Weak"
"Numel",322,"Fire","Ground",305,60,60,40,65,45,35,0.232,0.297,0.143,0.01,"Weak"
"Camerupt",323,"Fire","Ground",460,70,100,70,105,75,40,0.272,0.514,0.265,0.037,"Weak"
"Camerupt Mega Camerupt",323,"Fire","Ground",560,70,120,100,145,105,20,0.272,0.622,0.388,0.066,"Weak"
"Torkoal",324,"Fire","",470,70,85,140,85,70,20,0.272,0.432,0.551,0.065,"Weak"
"Spoink",325,"Psychic","",330,60,25,35,70,80,60,0.232,0.108,0.122,0.003,"Weak"
"Grumpig",326,"Psychic","",470,80,45,65,90,110,80,0.311,0.216,0.245,0.017,"Weak"
"Spinda",327,"Normal","",360,60,60,60,60,60,60,0.232,0.297,0.224,0.016,"Weak"
"Trapinch",328,"Ground","",290,45,100,45,45,45,10,0.173,0.514,0.163,0.015,"Weak"
"Vibrava",329,"Ground","Dragon",340,50,70,50,50,50,70,0.193,0.351,0.184,0.013,"Weak"
"Flygon",330,"Ground","Dragon",520,80,100,80,80,80,100,0.311,0.514,0.306,0.049,"Weak"
"Cacnea",331,"Grass","",335,50,85,40,85,40,35,0.193,0.432,0.143,0.012,"Weak"
"Cacturne",332,"Grass","Dark",475,70,115,60,115,60,55,0.272,0.595,0.224,0.036,"Weak"
"Swablu",333,"Normal","Flying",310,45,40,60,40,75,50,0.173,0.189,0.224,0.008,"Weak"
"Altaria",334,"Dragon","Flying",490,75,70,90,70,105,80,0.291,0.351,0.347,0.036,"Weak"
"Altaria Mega Altaria",334,"Dragon","Fairy",590,75,110,110,110,105,80,0.291,0.568,0.429,0.071,"Weak"
"Zangoose",335,"Normal","",458,73,115,60,60,60,90,0.283,0.595,0.224,0.038,"Weak"
"Seviper",336,"Poison","",458,73,100,60,100,60,65,0.283,0.514,0.224,0.033,"Weak"
"Lunatone",337,"Rock","Psychic",460,90,55,65,95,85,70,0.35,0.27,0.245,0.023,"Weak"
"Solrock",338,"Rock","Psychic",460,90,95,85,55,65,70,0.35,0.486,0.327,0.056,"Weak"
"Barboach",339,"Water","Ground",288,50,48,43,46,41,60,0.193,0.232,0.155,0.007,"Weak"
"Whiscash",340,"Water","Ground",468,110,78,73,76,71,60,0.429,0.395,0.278,0.047,"Weak"
"Corphish",341,"Water","",308,43,80,65,50,35,35,0.165,0.405,0.245,0.017,"Weak"
"Crawdaunt",342,"Water","Dark",468,63,120,85,90,55,55,0.244,0.622,0.327,0.05,"Weak"
"Baltoy",343,"Ground","Psychic",300,40,40,55,40,70,55,0.154,0.189,0.204,0.006,"Weak"
"Claydol",344,"Ground","Psychic",500,60,70,105,70,120,75,0.232,0.351,0.408,0.033,"Weak"
"Lileep",345,"Rock","Grass",355,66,41,77,61,87,23,0.256,0.195,0.294,0.015,"Weak"
"Cradily",346,"Rock","Grass",495,86,81,97,81,107,43,0.335,0.411,0.376,0.052,"Weak"
"Anorith",347,"Rock","Bug",355,45,95,50,40,50,75,0.173,0.486,0.184,0.016,"Weak"
"Armaldo",348,"Rock","Bug",495,75,125,100,70,80,45,0.291,0.649,0.388,0.073,"Weak"
"Feebas",349,"Water","",200,20,15,20,10,55,80,0.075,0.054,0.061,0,"Strong"
"Milotic",350,"Water","",540,95,60,79,100,125,81,0.37,0.297,0.302,0.033,"Weak"
"Castform",351,"Normal","",420,70,70,70,70,70,70,0.272,0.351,0.265,0.026,"Weak"
"Castform Sunny Form",351,"Fire","",420,70,70,70,70,70,70,0.272,0.351,0.265,0.026,"Weak"
"Castform Rainy Form",351,"Water","",420,70,70,70,70,70,70,0.272,0.351,0.265,0.026,"Weak"
"Castform Snowy Form",351,"Ice","",420,70,70,70,70,70,70,0.272,0.351,0.265,0.026,"Weak"
"Kecleon",352,"Normal","",440,60,90,70,60,120,40,0.232,0.459,0.265,0.028,"Weak"
"Shuppet",353,"Ghost","",295,44,75,35,63,33,45,0.169,0.378,0.122,0.008,"Weak"
"Banette",354,"Ghost","",455,64,115,65,83,63,65,0.248,0.595,0.245,0.036,"Weak"
"Banette Mega Banette",354,"Ghost","",555,64,165,75,93,83,75,0.248,0.865,0.286,0.062,"Weak"
"Duskull",355,"Ghost","",295,20,40,90,30,90,25,0.075,0.189,0.347,0.005,"Weak"
"Dusclops",356,"Ghost","",455,40,70,130,60,130,25,0.154,0.351,0.51,0.028,"Weak"
"Tropius",357,"Grass","Flying",460,99,68,83,72,87,51,0.386,0.341,0.318,0.042,"Weak"
"Chimecho",358,"Psychic","",455,75,50,80,95,90,65,0.291,0.243,0.306,0.022,"Weak"
"Absol",359,"Dark","",465,65,130,60,75,60,75,0.252,0.676,0.224,0.038,"Weak"
"Absol Mega Absol",359,"Dark","",565,65,150,60,115,60,115,0.252,0.784,0.224,0.044,"Weak"
"Wynaut",360,"Psychic","",260,95,23,48,23,48,23,0.37,0.097,0.176,0.007,"Weak"
"Snorunt",361,"Ice","",300,50,50,50,50,50,50,0.193,0.243,0.184,0.009,"Weak"
"Glalie",362,"Ice","",480,80,80,80,80,80,80,0.311,0.405,0.306,0.039,"Weak"
"Glalie Mega Glalie",362,"Ice","",580,80,120,80,120,80,100,0.311,0.622,0.306,0.059,"Weak"
"Spheal",363,"Ice","Water",290,70,40,50,55,50,25,0.272,0.189,0.184,0.01,"Weak"
"Sealeo",364,"Ice","Water",410,90,60,70,75,70,45,0.35,0.297,0.265,0.028,"Weak"
"Walrein",365,"Ice","Water",530,110,80,90,95,90,65,0.429,0.405,0.347,0.06,"Weak"
"Clamperl",366,"Water","",345,35,64,85,74,55,32,0.134,0.319,0.327,0.014,"Weak"
"Huntail",367,"Water","",485,55,104,105,94,75,52,0.213,0.535,0.408,0.047,"Weak"
"Gorebyss",368,"Water","",485,55,84,105,114,75,52,0.213,0.427,0.408,0.037,"Weak"
"Relicanth",369,"Water","Rock",485,100,90,130,45,65,55,0.39,0.459,0.51,0.091,"Weak"
"Luvdisc",370,"Water","",330,43,30,55,40,65,97,0.165,0.135,0.204,0.005,"Weak"
"Bagon",371,"Dragon","",300,45,75,60,40,30,50,0.173,0.378,0.224,0.015,"Weak"
"Shelgon",372,"Dragon","",420,65,95,100,60,50,50,0.252,0.486,0.388,0.048,"Weak"
"Salamence",373,"Dragon","Flying",600,95,135,80,110,80,100,0.37,0.703,0.306,0.08,"Weak"
"Salamence Mega Salamence",373,"Dragon","Flying",700,95,145,130,120,90,120,0.37,0.757,0.51,0.143,"Weak"
"Beldum",374,"Steel","Psychic",300,40,55,80,35,60,30,0.154,0.27,0.306,0.013,"Weak"
"Metang",375,"Steel","Psychic",420,60,75,100,55,80,50,0.232,0.378,0.388,0.034,"Weak"
"Metagross",376,"Steel","Psychic",600,80,135,130,95,90,70,0.311,0.703,0.51,0.112,"Weak"
"Metagross Mega Metagross",376,"Steel","Psychic",700,80,145,150,105,110,110,0.311,0.757,0.592,0.14,"Weak"
"Regirock",377,"Rock","",580,80,100,200,50,100,50,0.311,0.514,0.796,0.127,"Weak"
"Regice",378,"Ice","",580,80,50,100,100,200,50,0.311,0.243,0.388,0.03,"Weak"
"Registeel",379,"Steel","",580,80,75,150,75,150,50,0.311,0.378,0.592,0.07,"Weak"
"Latias",380,"Dragon","Psychic",600,80,80,90,110,130,110,0.311,0.405,0.347,0.044,"Weak"
"Latias Mega Latias",380,"Dragon","Psychic",700,80,100,120,140,150,110,0.311,0.514,0.469,0.075,"Weak"
"Latios",381,"Dragon","Psychic",600,80,90,80,130,110,110,0.311,0.459,0.306,0.044,"Weak"
"Latios Mega Latios",381,"Dragon","Psychic",700,80,130,100,160,120,110,0.311,0.676,0.388,0.082,"Weak"
"Kyogre",382,"Water","",670,100,100,90,150,140,90,0.39,0.514,0.347,0.07,"Weak"
"Kyogre Primal Kyogre",382,"Water","",770,100,150,90,180,160,90,0.39,0.784,0.347,0.106,"Weak"
"Groudon",383,"Ground","",670,100,150,140,100,90,90,0.39,0.784,0.551,0.169,"Normal"
"Groudon Primal Groudon",383,"Ground","Fire",770,100,180,160,150,90,90,0.39,0.946,0.633,0.234,"Strong"
"Rayquaza",384,"Dragon","Flying",680,105,150,90,150,90,95,0.409,0.784,0.347,0.111,"Weak"
"Rayquaza Mega Rayquaza",384,"Dragon","Flying",780,105,180,100,180,100,115,0.409,0.946,0.388,0.15,"Weak"
"Jirachi",385,"Steel","Psychic",600,100,100,100,100,100,100,0.39,0.514,0.388,0.078,"Weak"
"Deoxys Normal Forme",386,"Psychic","",600,50,150,50,150,50,150,0.193,0.784,0.184,0.028,"Weak"
"Deoxys Attack Forme",386,"Psychic","",600,50,180,20,180,20,150,0.193,0.946,0.061,0.011,"Weak"
"Deoxys Defense Forme",386,"Psychic","",600,50,70,160,70,160,90,0.193,0.351,0.633,0.043,"Weak"
"Deoxys Speed Forme",386,"Psychic","",600,50,95,90,95,90,180,0.193,0.486,0.347,0.033,"Weak"
"Turtwig",387,"Grass","",318,55,68,64,45,55,31,0.213,0.341,0.241,0.018,"Weak"
"Grotle",388,"Grass","",405,75,89,85,55,65,36,0.291,0.454,0.327,0.043,"Weak"
"Torterra",389,"Grass","Ground",525,95,109,105,75,85,56,0.37,0.562,0.408,0.085,"Weak"
"Chimchar",390,"Fire","",309,44,58,44,58,44,61,0.169,0.286,0.159,0.008,"Weak"
"Monferno",391,"Fire","Fighting",405,64,78,52,78,52,81,0.248,0.395,0.192,0.019,"Weak"
"Infernape",392,"Fire","Fighting",534,76,104,71,104,71,108,0.295,0.535,0.269,0.043,"Weak"
"Piplup",393,"Water","",314,53,51,53,61,56,40,0.205,0.249,0.196,0.01,"Weak"
"Prinplup",394,"Water","",405,64,66,68,81,76,50,0.248,0.33,0.257,0.021,"Weak"
"Empoleon",395,"Water","Steel",530,84,86,88,111,101,60,0.327,0.438,0.339,0.049,"Weak"
"Starly",396,"Normal","Flying",245,40,55,30,30,30,60,0.154,0.27,0.102,0.004,"Weak"
"Staravia",397,"Normal","Flying",340,55,75,50,40,40,80,0.213,0.378,0.184,0.015,"Weak"
"Staraptor",398,"Normal","Flying",485,85,120,70,50,60,100,0.331,0.622,0.265,0.055,"Weak"
"Bidoof",399,"Normal","",250,59,45,40,35,40,31,0.228,0.216,0.143,0.007,"Weak"
"Bibarel",400,"Normal","Water",410,79,85,60,55,60,71,0.307,0.432,0.224,0.03,"Weak"
"Kricketot",401,"Bug","",194,37,25,41,25,41,25,0.142,0.108,0.147,0.002,"Weak"
"Kricketune",402,"Bug","",384,77,85,51,55,51,65,0.299,0.432,0.188,0.024,"Weak"
"Shinx",403,"Electric","",263,45,65,34,40,34,45,0.173,0.324,0.118,0.007,"Weak"
"Luxio",404,"Electric","",363,60,85,49,60,49,60,0.232,0.432,0.18,0.018,"Weak"
"Luxray",405,"Electric","",523,80,120,79,95,79,70,0.311,0.622,0.302,0.059,"Weak"
"Budew",406,"Grass","Poison",280,40,30,35,50,70,55,0.154,0.135,0.122,0.003,"Weak"
"Roserade",407,"Grass","Poison",515,60,70,65,125,105,90,0.232,0.351,0.245,0.02,"Weak"
"Cranidos",408,"Rock","",350,67,125,40,30,30,58,0.26,0.649,0.143,0.024,"Weak"
"Rampardos",409,"Rock","",495,97,165,60,65,50,58,0.378,0.865,0.224,0.073,"Weak"
"Shieldon",410,"Rock","Steel",350,30,42,118,42,88,30,0.114,0.2,0.461,0.011,"Weak"
"Bastiodon",411,"Rock","Steel",495,60,52,168,47,138,30,0.232,0.254,0.665,0.039,"Weak"
"Burmy Plant Cloak",412,"Bug","",224,40,29,45,29,45,36,0.154,0.13,0.163,0.003,"Weak"
"Burmy Sandy Cloak",412,"Bug","",224,40,29,45,29,45,36,0.154,0.13,0.163,0.003,"Weak"
"Burmy Trash Cloak",412,"Bug","",224,40,29,45,29,45,36,0.154,0.13,0.163,0.003,"Weak"
"Wormadam Plant Cloak",413,"Bug","Grass",424,60,59,85,79,105,36,0.232,0.292,0.327,0.022,"Weak"
"Wormadam Sandy Cloak",413,"Bug","Ground",424,60,79,105,59,85,36,0.232,0.4,0.408,0.038,"Weak"
"Wormadam Trash Cloak",413,"Bug","Steel",424,60,69,95,69,95,36,0.232,0.346,0.367,0.03,"Weak"
"Mothim",414,"Bug","Flying",424,70,94,50,94,50,66,0.272,0.481,0.184,0.024,"Weak"
"Combee",415,"Bug","Flying",244,30,30,42,30,42,70,0.114,0.135,0.151,0.003,"Weak"
"Vespiquen",416,"Bug","Flying",474,70,80,102,80,102,40,0.272,0.405,0.396,0.044,"Weak"
